product_id,winsorize,features,RMSE,MAPE,Overfit_Score,method
P11,True,"PRO27826_org, MAB_ELE_SHP392, MAB_ELE_SHP276",2429735.9342696615,1.1201605087293147,,walkforward
P11,True,"PRO27826_org, MAB_ELE_SHP840, MAB_ELE_SHP276",2313040.55141,2.189824213964577,,walkforward
P11,True,"MAB_ELE_SHP392, MAB_ELE_SHP840, MAB_ELE_SHP276",2519163.7331898655,2.0697699170028296,,walkforward
P11,True,"PRO27826_org, MAB_ELE_SHP392, MAB_ELE_SHP840, MAB_ELE_SHP276",2869262.593021927,1.8567147497665961,,walkforward
P11,False,PRO27826_org,2088662.9063789707,1.2144295742625257,,walkforward
P11,False,MAB_ELE_SHP392,1983122.870511048,1.301351101289336,,walkforward
P11,False,MAB_ELE_SHP840,1960129.7681424299,1.3634241015346895,,walkforward
P11,False,MAB_ELE_SHP276,1919283.464551244,1.2906794331193463,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP392",2359890.6720550875,1.0857990709605514,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP840",2095221.144982206,1.4020839842147719,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP276",2115567.0147204218,1.121403912615561,,walkforward
P11,False,"MAB_ELE_SHP392, MAB_ELE_SHP840",2398402.1070239097,2.1463145542898454,,walkforward
P11,False,"MAB_ELE_SHP392, MAB_ELE_SHP276",2249120.220966228,1.1811541378408352,,walkforward
P11,False,"MAB_ELE_SHP840, MAB_ELE_SHP276",2029415.662099861,1.6715926081339625,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP392, MAB_ELE_SHP840",2834559.1793999453,2.5564357498848342,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP392, MAB_ELE_SHP276",2431798.305993169,1.1090424313157852,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP840, MAB_ELE_SHP276",2328861.2535759183,2.1588539438669225,,walkforward
P11,False,"MAB_ELE_SHP392, MAB_ELE_SHP840, MAB_ELE_SHP276",2514618.3554652184,2.100759402965485,,walkforward
P11,False,"PRO27826_org, MAB_ELE_SHP392, MAB_ELE_SHP840, MAB_ELE_SHP276",2880333.309840299,1.8832222956298386,,walkforward
P12,True,PRI27840_org,124145.03840890969,0.4796073996401522,,walkforward
P12,True,RohCOPPER1000_org,126289.60637490446,0.4832654475396271,,walkforward
P12,True,MAB_ELE_PRO156,123948.6330566862,0.4714951395690461,,walkforward
P12,True,"PRI27840_org, RohCOPPER1000_org",121752.31747205462,0.4736212681804779,,walkforward
P12,True,"PRI27840_org, MAB_ELE_PRO156",123769.93520241063,0.479187118492483,,walkforward
P12,True,"RohCOPPER1000_org, MAB_ELE_PRO156",126107.13182417066,0.4809466297006479,,walkforward
P12,True,"PRI27840_org, RohCOPPER1000_org, MAB_ELE_PRO156",121989.08982202227,0.47389845365352373,,walkforward
P12,False,PRI27840_org,125271.83830814685,0.48269920778363723,,walkforward
P12,False,RohCOPPER1000_org,127169.13442825669,0.485948055887813,,walkforward
P12,False,MAB_ELE_PRO156,124973.52056256011,0.47533407809795847,,walkforward
P12,False,"PRI27840_org, RohCOPPER1000_org",122937.76090634402,0.4765484934427854,,walkforward
P12,False,"PRI27840_org, MAB_ELE_PRO156",124999.48575601073,0.4823178371483712,,walkforward
